Leak,criticalLevel,workType,responseTime,processingDuration,resolutionDuration,planned,replanned,postponed,client_planned,missing_item,canceled,partial_repair,Class
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]24-48],]1-2],]24-48],False,False,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Panne VMC sanitaire
False,-1,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Visite entretien ventilation ind
True,-1,none,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]2-4],]72--[,False,False,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]4-16],]72--[,True,True,False,False,True,False,True,Panne Robinetterie
False,-1,corrective,]16-24],]1-2],]16-24],True,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]16-24],]2-4],]16-24],True,False,False,False,False,False,False,Panne chauff ind
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Panne VMC sanitaire
False,-1,preventive,]72--[,]48-72],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,0,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,True,False,Panne chauff ind
True,-1,preventive,]72--[,]0-1],]72--[,False,True,False,True,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]72--[,]72--[,True,False,False,True,False,True,False,Visite entretien convecteur
False,0,corrective,]72--[,0,]72--[,False,True,False,True,False,False,False,Panne chauff ind
False,-1,preventive,]24-48],]0-1],]24-48],False,False,False,True,False,False,True,Panne VMC sanitaire
True,0,corrective,]72--[,]72--[,]72--[,False,True,True,True,False,False,True,Panne chauff ind
False,-1,corrective,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]72--[,]2-4],]72--[,False,False,False,True,False,False,False,Panne chauff ind
False,0,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Panne chauff ind
False,-1,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]24-48],]1-2],]24-48],False,False,False,False,False,False,False,Panne chauff ind
False,-1,preventive,]48-72],]1-2],]48-72],True,True,False,False,False,False,False,Panne Robinetterie
False,0,corrective,]72--[,]72--[,]72--[,False,True,False,True,False,False,False,Panne chauff ind
False,0,corrective,]4-16],]1-2],]4-16],True,False,False,False,False,False,False,Panne chauff ind
False,-1,none,]72--[,]4-16],]72--[,False,True,False,True,True,True,True,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,True,True,False,True,True,False,True,Panne Robinetterie
False,-1,preventive,]24-48],]0-1],]24-48],False,False,False,True,False,False,False,Panne VMC sanitaire
True,-1,preventive,]72--[,]0-1],]72--[,False,False,False,True,False,False,True,Panne Robinetterie
True,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Panne VMC sanitaire
False,-1,preventive,]72--[,]0-1],]72--[,False,True,False,True,False,False,False,Panne VMC sanitaire
False,-1,corrective,]4-16],]0-1],]4-16],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,none,]48-72],0,]48-72],False,True,False,True,False,False,False,Panne Robinetterie
False,-1,preventive,]4-16],]0-1],]4-16],True,True,False,False,True,False,True,Panne Robinetterie
False,0,corrective,]72--[,]4-16],]72--[,True,True,False,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,True,False,Visite entretien convecteur
False,-1,corrective,]72--[,]72--[,]72--[,False,False,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]48-72],]2-4],]48-72],True,True,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,0,corrective,]72--[,]0-1],]72--[,False,False,True,True,False,False,False,Panne chauff ind
False,-1,corrective,]2-4],]0-1],]4-16],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]4-16],]72--[,]72--[,False,False,False,True,False,True,False,Panne Robinetterie
False,0,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,True,False,Panne chauff ind
False,0,corrective,]72--[,]72--[,]72--[,False,True,True,True,True,False,True,Panne chauff ind
True,-1,none,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,none,]72--[,]2-4],]72--[,True,True,True,False,False,False,False,Panne Robinetterie
False,-1,corrective,]48-72],]1-2],]48-72],True,False,False,False,False,False,False,Panne Robinetterie
True,-1,preventive,]24-48],]0-1],]24-48],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,0,corrective,]24-48],]0-1],]48-72],False,False,True,True,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,True,False,Panne Robinetterie
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]72--[,0,]72--[,True,True,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]48-72],]0-1],]48-72],False,False,False,True,False,True,True,Panne Robinetterie
True,-1,preventive,]4-16],]1-2],]4-16],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Visite entretien ventilation ind
True,-1,none,]72--[,0,]72--[,True,False,False,False,False,True,False,Panne Robinetterie
False,0,corrective,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,0,corrective,]24-48],]0-1],]24-48],False,False,True,True,False,True,False,Panne chauff ind
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
True,-1,preventive,]72--[,]1-2],]72--[,False,False,True,True,False,False,False,Fuite d'eau urgence réelle
False,-1,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,preventive,]72--[,]48-72],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,none,]72--[,]1-2],]72--[,True,True,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Visite entretien convecteur
False,0,corrective,]72--[,]1-2],]72--[,False,True,False,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,True,False,True,False,False,False,False,Fuite d'eau urgence réelle
False,0,corrective,]72--[,]1-2],]72--[,False,True,False,False,False,False,False,Panne chauff ind
False,-1,none,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,preventive,]72--[,]72--[,]72--[,True,False,False,True,False,True,False,Visite entretien convecteur
False,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]72--[,]1-2],]72--[,False,True,True,True,True,False,True,Visite entretien ventilation ind
False,-1,preventive,]72--[,]72--[,]72--[,True,False,False,False,False,True,False,Visite entretien convecteur
True,-1,preventive,]24-48],]0-1],]24-48],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,0,corrective,]4-16],]0-1],]4-16],False,False,False,True,False,False,False,Panne chauff ind
False,-1,preventive,]72--[,0,]72--[,True,False,False,False,False,False,False,Visite entretien convecteur
False,-1,preventive,]72--[,]48-72],]72--[,False,True,False,True,False,True,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]72--[,0,]72--[,True,True,False,False,False,False,False,Panne chauff ind
False,0,corrective,]72--[,]0-1],]72--[,True,False,True,False,False,False,False,Panne chauff ind
False,0,corrective,]72--[,]1-2],]72--[,False,False,True,True,False,False,False,Panne chauff ind
True,-1,none,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,preventive,]24-48],]2-4],]48-72],False,False,False,True,False,False,False,Panne Robinetterie
False,0,corrective,]72--[,]2-4],]72--[,True,False,True,False,False,False,False,Panne chauff ind
True,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Panne VMC sanitaire
True,-1,preventive,]48-72],]1-2],]72--[,False,False,False,True,False,False,False,Panne Robinetterie
False,0,corrective,]72--[,]2-4],]72--[,False,True,False,True,True,False,True,Panne chauff ind
True,-1,corrective,]72--[,]0-1],]72--[,False,True,True,False,False,False,False,Fuite d'eau urgence réelle
True,-1,preventive,]48-72],]1-2],]48-72],False,False,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]2-4],]72--[,False,True,False,True,True,False,True,Panne Robinetterie
False,-1,corrective,]72--[,]2-4],]72--[,False,True,True,True,True,False,True,Panne VMC sanitaire
False,-1,preventive,]72--[,]48-72],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,0,corrective,]72--[,]72--[,]72--[,False,True,True,True,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]48-72],]1-2],]48-72],True,False,False,False,False,False,False,Panne chauff ind
False,-1,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,preventive,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]48-72],]2-4],]48-72],True,False,True,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]1-2],]72--[,False,False,False,True,False,True,False,Panne Robinetterie
False,-1,preventive,]72--[,]1-2],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,0,corrective,]16-24],]72--[,]72--[,True,True,False,False,False,False,False,Panne chauff ind
False,-1,preventive,]72--[,]1-2],]72--[,False,False,False,True,False,False,False,Panne VMC sanitaire
True,-1,corrective,]72--[,]0-1],]72--[,True,True,True,False,True,False,True,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,0,corrective,]24-48],]0-1],]24-48],True,False,False,False,False,False,False,Panne chauff ind
True,-1,none,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]24-48],]2-4],]48-72],True,True,False,False,False,True,False,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,0,corrective,]24-48],]1-2],]24-48],False,False,False,True,False,False,False,Panne chauff ind
False,0,corrective,]72--[,]72--[,]72--[,False,True,False,True,False,False,False,Panne chauff ind
False,0,corrective,]4-16],]0-1],]4-16],True,False,False,False,False,True,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,-1,corrective,0,0,0,True,False,False,False,False,True,False,Panne Robinetterie
False,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Fuite d'eau urgence réelle
False,-1,preventive,]24-48],]0-1],]48-72],True,False,False,False,False,False,False,Panne Robinetterie
True,-1,preventive,]24-48],]0-1],]48-72],False,False,False,True,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]72--[,]72--[,True,False,False,False,False,True,False,Visite entretien convecteur
False,0,corrective,]48-72],]1-2],]48-72],True,False,False,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]16-24],]1-2],]16-24],True,False,False,False,False,False,False,Panne chauff ind
True,-1,none,]72--[,0,]72--[,False,True,True,True,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]72--[,]72--[,True,True,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]16-24],]0-1],]16-24],False,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Panne VMC sanitaire
True,-1,none,]48-72],]0-1],]48-72],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,0,]72--[,True,True,True,False,True,False,True,Panne Robinetterie
False,-1,corrective,]72--[,]1-2],]72--[,True,True,False,False,True,False,True,Panne Robinetterie
False,0,corrective,]72--[,]72--[,]72--[,False,True,True,False,False,False,False,Panne chauff ind
True,-1,preventive,]72--[,]1-2],]72--[,True,False,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]24-48],]0-1],]24-48],True,False,False,False,False,True,False,Panne Robinetterie
False,-1,preventive,]72--[,]4-16],]72--[,True,True,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]48-72],]72--[,True,False,False,False,False,True,False,Visite entretien convecteur
False,-1,corrective,]4-16],]0-1],]16-24],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]24-48],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,preventive,]72--[,0,]72--[,True,True,False,False,True,False,True,Panne Robinetterie
False,0,corrective,0,]16-24],]16-24],False,True,False,False,False,False,True,Panne chauff ind
True,-1,preventive,]24-48],]72--[,]72--[,True,True,False,False,False,False,False,Panne Robinetterie
True,-1,none,]72--[,]4-16],]72--[,False,True,False,True,False,True,False,Panne Robinetterie
True,-1,none,]72--[,0,]72--[,True,True,True,False,True,False,True,Panne Robinetterie
False,-1,preventive,]72--[,]1-2],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
True,-1,preventive,]72--[,]2-4],]72--[,True,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,none,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,0,corrective,]48-72],]0-1],]72--[,False,False,False,True,False,True,False,Panne chauff ind
False,-1,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Fuite d'eau urgence réelle
False,-1,preventive,]24-48],]1-2],]48-72],False,False,False,True,False,False,False,Panne Robinetterie
True,-1,none,]72--[,]4-16],]72--[,False,True,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]48-72],]0-1],]48-72],False,False,False,True,False,False,True,Panne Robinetterie
False,-1,preventive,]72--[,]4-16],]72--[,False,True,False,True,False,False,False,Panne Robinetterie
True,-1,none,]24-48],]0-1],]24-48],False,False,False,True,False,False,False,Fuite d'eau urgence réelle
False,0,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]2-4],]72--[,True,True,False,False,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]24-48],]0-1],]24-48],True,False,False,False,False,False,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
True,-1,none,]72--[,]0-1],]72--[,True,True,False,False,True,False,True,Panne Robinetterie
False,-1,corrective,]72--[,]2-4],]72--[,True,False,False,False,False,False,False,Panne Robinetterie
True,-1,none,]72--[,]1-2],]72--[,False,True,True,True,False,False,False,Panne Robinetterie
False,0,corrective,]24-48],]1-2],]48-72],True,False,False,False,False,False,False,Panne chauff ind
False,0,corrective,]48-72],]0-1],]72--[,False,False,False,True,False,True,False,Panne chauff ind
False,-1,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Panne VMC sanitaire
True,-1,none,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Panne VMC sanitaire
False,-1,preventive,]72--[,]48-72],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,0,corrective,0,]16-24],]16-24],False,True,False,False,False,False,True,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,-1,corrective,]16-24],]1-2],]16-24],True,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,0,corrective,]72--[,]0-1],]72--[,False,True,True,True,False,True,False,Panne chauff ind
False,0,corrective,]72--[,]4-16],]72--[,True,True,True,False,True,False,True,Panne chauff ind
True,-1,none,]72--[,]0-1],]72--[,True,False,False,True,False,False,False,Panne Robinetterie
False,0,corrective,]72--[,]2-4],]72--[,False,True,False,True,True,False,True,Panne chauff ind
True,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Panne VMC sanitaire
True,-1,preventive,]72--[,]1-2],]72--[,False,False,True,True,False,False,False,Panne Robinetterie
False,0,corrective,]16-24],]0-1],]24-48],False,False,False,True,False,False,False,Panne chauff ind
False,-1,preventive,]72--[,]1-2],]72--[,False,True,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]16-24],]0-1],]24-48],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,0,]72--[,False,True,False,True,False,False,False,Panne VMC sanitaire
False,0,corrective,]48-72],]0-1],]48-72],True,False,False,False,False,True,False,Panne chauff ind
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Panne Robinetterie
False,0,corrective,]72--[,]72--[,]72--[,True,True,False,False,False,False,False,Panne chauff ind
False,0,corrective,0,]0-1],]0-1],True,False,False,False,False,False,False,Panne chauff ind
False,0,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,True,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Visite entretien ventilation ind
True,-1,preventive,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Panne VMC sanitaire
False,0,corrective,]72--[,]4-16],]72--[,True,True,True,False,False,False,False,Panne chauff ind
False,-1,preventive,]24-48],]0-1],]48-72],True,False,False,False,False,False,False,Visite entretien convecteur
True,-1,preventive,0,]0-1],]0-1],False,False,False,False,False,False,False,Panne VMC sanitaire
True,-1,none,]16-24],]1-2],]24-48],False,False,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]2-4],]0-1],]2-4],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]72--[,]2-4],]72--[,True,False,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]1-2],]72--[,True,False,False,False,False,True,False,Panne Robinetterie
True,-1,preventive,]16-24],]1-2],]16-24],False,False,False,True,False,False,False,Panne Robinetterie
False,0,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,True,False,False,False,False,False,Visite entretien ventilation ind
False,0,corrective,]4-16],]1-2],]4-16],False,False,False,True,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]1-2],]72--[,False,True,True,True,False,True,False,Panne Robinetterie
False,-1,preventive,]1-2],]0-1],]1-2],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]24-48],]2-4],]48-72],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]48-72],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,0,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Panne chauff ind
False,-1,preventive,0,]0-1],]0-1],False,False,False,True,False,False,False,Panne VMC sanitaire
False,-1,corrective,]16-24],]0-1],]24-48],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]24-48],]0-1],]24-48],False,False,True,True,False,False,False,Panne Robinetterie
False,-1,none,]48-72],]1-2],]48-72],False,True,False,True,False,False,False,Panne Robinetterie
True,-1,none,]24-48],]0-1],]24-48],True,False,False,False,False,True,False,Panne Robinetterie
False,-1,preventive,]72--[,]1-2],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,True,True,False,False,False,False,False,Panne Robinetterie
True,-1,preventive,]72--[,]24-48],]72--[,False,True,False,True,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]2-4],]72--[,True,True,False,False,False,True,False,Visite entretien convecteur
False,0,corrective,]24-48],]0-1],]24-48],False,False,True,True,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,0,]72--[,True,False,False,False,False,True,False,Panne Robinetterie
True,-1,preventive,]48-72],]0-1],]48-72],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]2-4],]1-2],]4-16],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]2-4],]72--[,True,False,False,False,False,False,False,Panne Robinetterie
True,0,corrective,]72--[,]0-1],]72--[,False,True,True,True,True,False,True,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,-1,none,]72--[,]72--[,]72--[,False,True,True,True,False,False,False,Panne Robinetterie
True,-1,none,]72--[,]0-1],]72--[,True,True,False,False,False,False,False,Panne Robinetterie
False,-1,none,]72--[,]0-1],]72--[,True,True,False,False,False,False,False,Fuite d'eau urgence réelle
True,-1,corrective,]72--[,]72--[,]72--[,False,True,True,True,True,False,True,Fuite d'eau urgence réelle
False,0,corrective,]72--[,]1-2],]72--[,False,True,False,True,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]2-4],]72--[,True,True,True,False,True,False,True,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Panne VMC sanitaire
False,0,corrective,]24-48],]1-2],]24-48],False,False,True,False,False,False,False,Panne chauff ind
True,-1,none,]4-16],0,]4-16],True,False,False,False,False,False,False,Panne Robinetterie
True,-1,preventive,]48-72],]0-1],]48-72],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Fuite d'eau urgence réelle
False,0,corrective,0,]0-1],]0-1],True,False,False,False,False,True,False,Panne chauff ind
True,-1,preventive,]72--[,]0-1],]72--[,True,False,True,False,False,False,False,Panne Robinetterie
False,-1,preventive,]16-24],]1-2],]24-48],False,False,False,True,False,False,True,Panne Robinetterie
True,-1,preventive,]72--[,]2-4],]72--[,False,True,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,preventive,]72--[,]48-72],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,preventive,]72--[,]72--[,]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Visite entretien convecteur
True,-1,none,]16-24],]0-1],]16-24],True,False,False,False,False,True,False,Panne Robinetterie
False,-1,preventive,]72--[,]2-4],]72--[,False,False,False,True,False,True,False,Visite entretien convecteur
False,-1,preventive,]24-48],]0-1],]24-48],True,False,False,False,False,False,False,Visite entretien convecteur
False,-1,corrective,]24-48],]0-1],]24-48],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,preventive,]72--[,]72--[,]72--[,True,False,False,True,False,True,False,Visite entretien convecteur
False,-1,none,0,0,0,False,False,True,True,False,False,False,Panne Robinetterie
False,-1,preventive,]4-16],]0-1],]4-16],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,-1,corrective,]16-24],]1-2],]24-48],True,False,False,False,False,False,False,Panne Robinetterie
False,0,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,True,False,Panne chauff ind
True,0,corrective,]72--[,]1-2],]72--[,False,False,False,True,False,False,True,Panne chauff ind
True,-1,preventive,]72--[,]0-1],]72--[,True,False,False,False,False,False,False,Fuite d'eau urgence réelle
True,0,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,False,False,Panne chauff ind
True,-1,none,]24-48],]0-1],]24-48],True,False,False,False,False,False,False,Panne Robinetterie
False,-1,preventive,]72--[,]0-1],]72--[,False,False,False,True,False,False,False,Visite entretien ventilation ind
False,0,corrective,]72--[,]0-1],]72--[,False,False,False,True,False,False,True,Panne chauff ind
True,-1,preventive,]24-48],]1-2],]24-48],True,False,False,False,False,False,False,Panne Robinetterie
False,0,corrective,]4-16],]0-1],]4-16],True,False,False,False,False,False,False,Panne chauff ind
False,-1,corrective,]16-24],]0-1],]16-24],False,False,False,True,False,False,False,Panne Robinetterie
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Visite entretien ventilation ind
False,-1,preventive,]72--[,]72--[,]72--[,False,True,False,True,False,False,False,Panne VMC sanitaire
False,0,corrective,]24-48],]1-2],]24-48],False,False,False,True,False,False,False,Panne chauff ind
True,-1,preventive,]48-72],]0-1],]48-72],True,False,False,False,False,False,False,Panne VMC sanitaire
False,-1,preventive,]24-48],]0-1],]24-48],False,False,False,True,False,False,False,Panne VMC sanitaire
False,0,corrective,]72--[,0,]72--[,True,True,False,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]0-1],]72--[,False,False,False,False,False,False,False,Visite entretien ventilation ind
False,-1,corrective,]72--[,0,]72--[,True,False,False,False,False,True,False,Panne Robinetterie
False,-1,corrective,]16-24],]0-1],]16-24],True,False,False,False,False,False,False,Fuite d'eau urgence réelle
False,0,corrective,]72--[,]1-2],]72--[,True,False,True,False,False,False,False,Panne chauff ind
False,-1,corrective,]72--[,]2-4],]72--[,True,True,False,False,False,False,False,Panne VMC sanitaire
